name,hex,link
अन्तर्राष्ट्रीय क्लेन नीला,#002fa7,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AF_%E0%A4%95%E0%A5%8D%E0%A4%B2%E0%A5%87%E0%A4%A8_%E0%A4%A8%E0%A5%80%E0%A4%B2%E0%A4%BE
अन्तर्राष्ट्रीय नारंगी,#ff4f00,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AF_%E0%A4%A8%E0%A4%BE%E0%A4%B0%E0%A4%82%E0%A4%97%E0%A5%80_(%E0%A4%B0%E0%A4%82%E0%A4%97)
अर्धरात्रि नीला,#003366,meodai
आडू़,#ffe5b4,meodai
आडू़-नारंगी,#ffcc99,https://hi.wikipedia.org/wiki/%E0%A4%86%E0%A4%A1%E0%A5%82%E0%A4%BC_(%E0%A4%B0%E0%A4%82%E0%A4%97)#%E0%A4%86%E0%A4%A1%E0%A5%82%E0%A4%BC-%E0%A4%A8%E0%A4%BE%E0%A4%B0%E0%A4%82%E0%A4%97%E0%A5%80
आडू़-पीला,#fadfad,https://hi.wikipedia.org/wiki/%E0%A4%86%E0%A4%A1%E0%A5%82%E0%A4%BC_(%E0%A4%B0%E0%A4%82%E0%A4%97)#%E0%A4%86%E0%A4%A1%E0%A5%82%E0%A4%BC-%E0%A4%AA%E0%A5%80%E0%A4%B2%E0%A4%BE
आसमानी,#87ceeb,meodai
इंडिगो,#4b0082,https://hi.wikipedia.org/wiki/%E0%A4%87%E0%A4%82%E0%A4%A1%E0%A4%BF%E0%A4%97%E0%A5%8B#%E0%A4%87%E0%A4%82%E0%A4%A1%E0%A4%BF%E0%A4%97%E0%A5%8B_(%E0%A4%B5%E0%A5%87%E0%A4%AC)
इंडिगो डाई,#00416a,https://hi.wikipedia.org/wiki/%E0%A4%87%E0%A4%82%E0%A4%A1%E0%A4%BF%E0%A4%97%E0%A5%8B
इस्पात नीला,#4682b4,https://hi.wikipedia.org/wiki/%E0%A4%A8%E0%A5%80%E0%A4%B2%E0%A4%BE#%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%BE%E0%A4%A4_%E0%A4%A8%E0%A5%80%E0%A4%B2%E0%A4%BE
इस्लामिक हरा,#009000,https://hi.wikipedia.org/wiki/%E0%A4%B9%E0%A4%B0%E0%A4%BE_%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%A3_%E0%A4%95%E0%A5%87_%E0%A4%AA%E0%A4%B0%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%A4%E0%A4%A8#%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%AE%E0%A4%BF%E0%A4%95_%E0%A4%B9%E0%A4%B0%E0%A4%BE
उज्ज्वल फिरोजी़,#08e8de,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8_(%E0%A4%B0%E0%A4%82%E0%A4%97)#%E0%A4%AB%E0%A5%80%E0%A4%B0%E0%A5%8B%E0%A4%9C%E0%A5%80
उज्ज्वल हरा,#66ff00,https://hi.wikipedia.org/wiki/%E0%A4%89%E0%A4%9C%E0%A5%8D%E0%A4%9C%E0%A5%8D%E0%A4%B5%E0%A4%B2_%E0%A4%B9%E0%A4%B0%E0%A4%BE
ऊष्म गुलाबी,#ff69b4,https://hi.wikipedia.org/wiki/%E0%A4%97%E0%A5%81%E0%A4%B2%E0%A4%BE%E0%A4%AC%E0%A5%80#%E0%A4%B5%E0%A5%87%E0%A4%AC_%E0%A4%B0%E0%A4%82%E0%A4%97_%E0%A4%8A%E0%A4%B7%E0%A5%8D%E0%A4%AE_%E0%A4%AA%E0%A4%BF%E0%A4%82%E0%A4%95
ऊष्म रानी,#ff00cc,https://hi.wikipedia.org/wiki/%E0%A4%B0%E0%A4%BE%E0%A4%A8%E0%A5%80_(%E0%A4%B0%E0%A4%82%E0%A4%97)
एक्रू,#c2b280,https://hi.wikipedia.org/wiki/%E0%A4%8F%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%82
एक्वुआ या जलीय,#00ffff,https://hi.wikipedia.org/wiki/%E0%A4%8F%E0%A4%95%E0%A5%8D%E0%A4%B5%E0%A5%81%E0%A4%86_(%E0%A4%B0%E0%A4%82%E0%A4%97)
एक्वुआमरीन,#7fffd4,https://hi.wikipedia.org/wiki/%E0%A4%8F%E0%A4%95%E0%A5%8D%E0%A4%B5%E0%A5%81%E0%A4%86%E0%A4%AE%E0%A4%B0%E0%A5%80%E0%A4%A8_(%E0%A4%B0%E0%A4%82%E0%A4%97)
एलिस नीला,#f0f8ff,https://hi.wikipedia.org/wiki/%E0%A4%8F%E0%A4%B2%E0%A4%BF%E0%A4%B8_%E0%A4%A8%E0%A5%80%E0%A4%B2%E0%A4%BE
एलीजा़रिन,#e32636,https://hi.wikipedia.org/wiki/%E0%A4%8F%E0%A4%B2%E0%A5%80%E0%A4%9C%E0%A4%BE%E0%A4%BC%E0%A4%B0%E0%A4%BF%E0%A4%A8
एस्पैरागस सलेटी,#465945,https://hi.wikipedia.org/wiki/%E0%A4%8F%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%88%E0%A4%B0%E0%A4%BE%E0%A4%97%E0%A4%B8_%E0%A4%B8%E0%A4%B2%E0%A5%87%E0%A4%9F%E0%A5%80
ऐज़्योर,#0080ff,https://hi.wikipedia.org/wiki/%E0%A4%90%E0%A4%9C%E0%A4%BC%E0%A5%8D%E0%A4%AF%E0%A5%8B%E0%A4%B0_(%E0%A4%B0%E0%A4%82%E0%A4%97)
ऐज्योर वेब,#f0ffff,https://hi.wikipedia.org/wiki/%E0%A4%90%E0%A4%9C%E0%A5%8D%E0%A4%AF%E0%A5%8B%E0%A4%B0_(%E0%A4%B5%E0%A5%87%E0%A4%AC_%E0%A4%B0%E0%A4%82%E0%A4%97)
ऐमारैंथ,#e52b50,https://hi.wikipedia.org/wiki/%E0%A4%90%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%88%E0%A4%82%E0%A4%A5_(%E0%A4%B0%E0%A4%82%E0%A4%97)
ऐस्पैरागस,#7ba05b,https://hi.wikipedia.org/wiki/%E0%A4%90%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%88%E0%A4%B0%E0%A4%BE%E0%A4%97%E0%A4%B8_(%E0%A4%B0%E0%A4%82%E0%A4%97)
ऑफिस हरा,#008000,https://hi.wikipedia.org/wiki/%E0%A4%B9%E0%A4%B0%E0%A4%BE#%E0%A4%91%E0%A4%AB%E0%A4%BF%E0%A4%B8_%E0%A4%B9%E0%A4%B0%E0%A4%BE
ऑर्किड,#da70d6,https://hi.wikipedia.org/wiki/%E0%A4%91%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%BF%E0%A4%A1_(%E0%A4%B0%E0%A4%82%E0%A4%97)
